YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,LocationID,TopicID,QuestionID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2015,2019,AL,Alabama,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,406.3,406.3,,,403.1,409.6,Sex,Female,,,,,POINT (-86.63186076199969 32.84057112200048),1,CAN,CAN07,,AGEADJRATE,SEX,SEXF,,,,
2016,2020,MN,Minnesota,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,11.1,11.1,,,8.3,14.6,Race/Ethnicity,Hispanic,,,,,POINT (-94.79420050299967 46.35564873600049),27,CAN,CAN04,,AGEADJRATE,RACE,HIS,,,,
2015,2019,RI,Rhode Island,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,46.9,46.9,,,44.4,49.5,Sex,Male,,,,,POINT (-71.52247031399963 41.70828019300046),44,CAN,CAN04,,AGEADJRATE,SEX,SEXM,,,,
2016,2020,MI,Michigan,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,74.3,74.3,,,69.5,79.3,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-84.71439026999968 44.6613195430005),26,CAN,CAN08,,AGEADJRATE,RACE,API,,,,
2015,2019,OR,Oregon,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,Number,Number,11327,11327,,,,,Sex,Female,,,,,POINT (-120.15503132599969 44.56744942400047),41,CAN,CAN07,,NMBR,SEX,SEXF,,,,
2016,2020,ME,Maine,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Age-adjusted Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-68.98503133599962 45.254228894000505),23,CAN,CAN05,,AGEADJRATE,RACE,BLK,,,,
2015,2019,KY,Kentucky,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,25.7,25.7,,,22.5,29.3,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-84.77497104799966 37.645970271000465),21,CAN,CAN02,,AGEADJRATE,RACE,BLK,,,,
2016,2020,MI,Michigan,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,28.4,28.4,,,26.7,30.1,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-84.71439026999968 44.6613195430005),26,CAN,CAN02,,AGEADJRATE,RACE,BLK,,,,
2016,2020,NJ,New Jersey,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,3.3,3.3,,,2.7,3.9,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-74.27369128799967 40.13057004800049),34,CAN,CAN03,,AGEADJRATE,RACE,BLK,,,,
2015,2019,GA,Georgia,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Crude Rate,549.8,549.8,,,546.9,552.6,Sex,Male,,,,,POINT (-83.62758034599966 32.83968109300048),13,CAN,CAN07,,CRDRATE,SEX,SEXM,,,,
2015,2019,DE,Delaware,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,"per 100,000",Crude Rate,3.8,3.8,,,2.2,6.1,Race/Ethnicity,Hispanic,,,,,POINT (-75.57774116799965 39.008830667000495),10,CAN,CAN01,,CRDRATE,RACE,HIS,,,,
2016,2020,DC,District of Columbia,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,194.5,194.5,,,188.2,201,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-77.036871 38.907192),11,CAN,CAN08,,AGEADJRATE,RACE,BLK,,,,
2016,2020,FL,Florida,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Crude Rate,10.6,10.6,,,6.1,17.2,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-81.92896053899966 28.932040377000476),12,CAN,CAN05,,CRDRATE,RACE,AIAN,,,,
